Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Summary Quote
DDD,3D Systems Corporation,13.6,$1.52B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,171.37,$103.94B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,16.44,$680.27M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,45.4,$6.43B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
AHC,A.H. Belo Corporation,5.02,$108.32M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ATEN,"A10 Networks, Inc.",6.57,$423.57M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",19.64,$465.88M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,23.15,$804.42M,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",22.24,$1.61B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,21.29,$46.07B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,37.73,$55.43B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,59.98,$97.01B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,19.01,$1.29B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
GCH,"Aberdeen Greater China Fund, Inc.",8.29,$76.17M,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.7,$105.2M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq
SGF,"Aberdeen Singapore Fund, Inc.",9.02,$69.44M,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
